UrbanAgg,Country,Region,OID,Pop1970,Pop1980,Pop1990,Pop2000,Pop2010,PopR7080,PopR8090,PopR9000,PopR0010,Area1970,Area1980,Area1990,Area2000,Area2010,ArR7080,ArR8090,ArR9000,ArR0010,PD1970,PD1980,PD1990,PD2000,PD2010,Authors,Journal,Year
Dhanbad,India,India,403,410,658,805,1046,1186,4.844150142,2.036839597,2.653457233,1.264051791,10.153423,15.222838,22.679848,30.678729,45.054692,4.132984249,4.067339381,3.067020707,3.917877121,40380.4707,43224.52883,35494.06504,34095.28472,26323.56248,"Kumar, A, Pandey, AC, Hoda, N, & AT Jeyaseelan",Journal of the Indian Society of Remote Sensing,2011
Dhanbad,India,India,405,410,658,805,1046,1186,4.844150142,2.036839597,2.653457233,1.264051791,9.585019,13.786002,19.774742,28.606594,44.664946,3.701380031,3.67337787,3.761330665,4.556266273,42775.08474,47729.57381,40708.49572,36564.99617,26553.2617,"Lal, K, Kumar, D, & A Kumar",Egyptian Journal of Remote Sensing and Space Science,2017
Dire Dawa,Ethiopia,Africa,26,49,81,133,193,266,5.106276824,5.104907342,3.77260408,3.270842083, , , , , , , , , , , , , , ,"Taffa, C, Mekonen, T, Mulugeta, M, & B Tesfaye",Data in Brief,2017
Dongguan,China,China,102,114,137,553,3631,7118,1.854816708,14.97421589,20.70634837,6.962901079,5.768948,39.433658,253.315762,1269.276628, ,21.19286271,20.44243159,17.48688979, ,19760.96855,3474.189486,2183.046154,2860.684519, ,"Li, X",Environment and Planning B,1998
Dongguan,China,China,99,114,137,553,3631,7118,1.854816708,14.97421589,20.70634837,6.962901079, ,12.75201777,145,547.6378,1052.57, ,27.52017771,14.21221166,6.751935298, ,10743.39783,3813.793103,6630.294695,6762.495606,"Liu, Z, Huang, H, Werners, SE, D Yan",Journal of Geographical Sciences,2016
Dongguan,China,China,103,114,137,553,3631,7118,1.854816708,14.97421589,20.70634837,6.962901079,14.378166,66.913085,311.4,1180.3, ,16.62207276,16.62207262,14.25293884, ,7928.688541,2047.432128,1775.850996,3076.336525, ,"Schneider, A & CE Woodcock",Urban Studies,2008
Dongguan,China,China,101,114,137,553,3631,7118,1.854816708,14.97421589,20.70634837,6.962901079, , ,196.044, , , , , ,0.377440984, , , ,4255.743085,8034.261087,"Su, Y, Chen, X, Wang, C, Zhang, H, Liao, J, Ye, Y, C Wang",GIScience and Remote Sensing,2015
Dongguan,China,China,100,114,137,553,3631,7118,1.854816708,14.97421589,20.70634837,6.962901079,21.694596,67.363535,206.769216,572.053005, ,11.99724257,11.86805858,10.71208736, ,5254.764827,2033.741252,2674.479358,6347.313917, ,"Weng, Q",International Journal of Remote Sensing,2001
Dongguan,China,China,98,114,137,553,3631,7118,1.854816708,14.97421589,20.70634837,6.962901079, , , ,853.2,885.955774, , , , , , ,2820.795332, , ,"Yeh, AGO & X Li",Photogrammetric Engineering and Remote Sensing,2001
Dortmund,Germany,Europe,332,639,610,597,590,583,-0.472962491,-0.218557159,-0.116967274,-0.116757497,474.6204812,534.7878828,603.7352286,685.2876289,747.0443482,1.200698092,1.220037989,1.275089898,0.866592413,1347.061548,1140.152983,988.0887709,860.3730393,780.0808633,"Li, C & NX Thinh",Journal of Applied Remote Sensing,2013
Dublin,Ireland,Europe,333,771,903,916,989,1100,1.592895241,0.143040318,0.769726953,1.069388793,222.832145,280.767084,353.764738,449.425254,581.038987,2.337978745,2.337978737,2.422245505,2.601752806,3460.003493,3216.188975,2589.291418,2200.588399,1893.160398,"Nello, O, Lopez, J, Martin, J, & J Checa",Land Use Policy,2017
Durg-Bhilainagar,India,India,406,234,468,670,905,1054,7.177346254,3.65324313,3.052226088,1.535801916,34.586601,62.119973,111.571849,195.896635,339.523753,6.03087307,6.030873011,5.790637583,5.653604637,6765.625798,7533.808812,6005.09901,4619.783285,3104.348343,"Gibson, J, Boe-Gibson, G, & G Stichbury",Food Policy,2015
El Djazair (Algiers),Algeria,Africa,4,1281,1621,1797,2141,2432,2.381947997,1.036084215,1.766973503,1.28256475,71.006299,105.618426,156.389138,229.12, ,4.050526336,4.003197002,3.892845558, ,18040.65298,15347.70079,11490.56784,9344.448324, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Erzurum,Turkey,SW Asia,598,133,189,243,357,376,3.576448683,2.54498997,3.921688451,0.519880328,10.79732795,16.83317807,26.094906,39.921318,61.073667,4.540598592,4.481394854,4.34338305,4.343382844,12317.8624,11227.82633,9312.162305,8942.590523,6156.499494,"Oguz, H & M Zengin",Fresenius Environmental Bulletin,2011
Ezhou,China,China,104,24,68,191,533,606,10.8365294,10.83364292,10.83670043,1.285645591,2.917068586,7.43,17.47,27.75,44.97,9.800474609,8.925712429,4.736247101,4.946024126,8346.392717,9168.236878,10906.81168,19211.6036,13470.4692,"Lu, S, Guan, X, He, C, & J Zhang",Sustainability (Switzerland),2014
Fes,Morocco,Africa,27,369,510,685,868,1061,3.2890733,2.994027102,2.395982008,2.028045195,13.781119,18.243661,24.040575,31.582604,41.490725,2.844897833,2.79767346,2.766202496,2.766202607,26775.76473,27954.91541,28493.49485,27483.48426,25571.98024,"El Garouani, A, Mulla, DJ, El Garouani, S, & J Knight",International Journal of Sustainable Built Environment,2017
Foshan,China,China,106,323,570,1008,3832,6653,5.844241088,5.866503004,14.2869116,5.671823626,52.84584,58.465894,64.67709,71.483055, ,1.015770071,1.01474868,1.005555932, ,6112.117813,9749.273653,15585.11677,53607.1101, ,"Weng, Q",International Journal of Remote Sensing,2001
